country,year,annual_emission_with_land_usage
Austria,1955,27677960.0
Belgium,1955,89182440.0
Bulgaria,1955,25940268.0
Croatia,1955,14703701.0
Cyprus,1955,3755307.0
Denmark,1955,35529304.0
Estonia,1955,8243915.0
Finland,1955,26228518.0
France,1955,220197890.0
Germany,1955,721708800.0
Greece,1955,23447772.0
Hungary,1955,34812844.0
Ireland,1955,21364718.0
Italy,1955,58033510.0
Latvia,1955,11285925.0
Lithuania,1955,22064044.0
Luxembourg,1955,9586379.0
Malta,1955,265493.44
Netherlands,1955,65073424.0
Poland,1955,152681490.0
Portugal,1955,10368134.0
Romania,1955,80088060.0
Slovakia,1955,30061794.0
Slovenia,1955,5611284.5
Spain,1955,58542010.0
Sweden,1955,71655410.0
Austria,1956,26809512.0
Belgium,1956,93718220.0
Bulgaria,1956,26576864.0
Croatia,1956,15001578.0
Cyprus,1956,4076527.2
Denmark,1956,34326710.0
Estonia,1956,8613554.0
Finland,1956,27334788.0
France,1956,254224560.0
Germany,1956,762687940.0
Greece,1956,25602812.0
Hungary,1956,31817500.0
Ireland,1956,20004206.0
Italy,1956,61044340.0
Latvia,1956,12589347.0
Lithuania,1956,23783848.0
Luxembourg,1956,10065233.0
Malta,1956,216432.48
Netherlands,1956,68584300.0
Poland,1956,168406000.0
Portugal,1956,10709222.0
Romania,1956,84665656.0
Slovakia,1956,32163320.0
Slovenia,1956,5964658.5
Spain,1956,61471824.0
Sweden,1956,74968264.0
Austria,1957,27754866.0
Belgium,1957,93461260.0
Bulgaria,1957,27828728.0
Croatia,1957,15645744.0
Cyprus,1957,4223299.0
Denmark,1957,32881500.0
Estonia,1957,8822174.0
Finland,1957,27097274.0
France,1957,269306300.0
Germany,1957,773794800.0
Greece,1957,27170524.0
Hungary,1957,36970804.0
Ireland,1957,18609508.0
Italy,1957,59533410.0
Latvia,1957,13777238.0
Lithuania,1957,25714780.0
Luxembourg,1957,10540555.0
Malta,1957,226435.2
Netherlands,1957,67826210.0
Poland,1957,182826290.0
Portugal,1957,10965551.0
Romania,1957,90205640.0
Slovakia,1957,33520062.0
Slovenia,1957,6182293.0
Spain,1957,70790560.0
Sweden,1957,69364610.0
Austria,1958,26693976.0
Belgium,1958,84354310.0
Bulgaria,1958,28875728.0
Croatia,1958,15014724.0
Cyprus,1958,4021757.8
Denmark,1958,34049456.0
Estonia,1958,8417306.0
Finland,1958,25445594.0
France,1958,263196530.0
Germany,1958,750441300.0
Greece,1958,24413210.0
Hungary,1958,37437010.0
Ireland,1958,17416912.0
Italy,1958,54552108.0
Latvia,1958,14782205.0
Lithuania,1958,27410364.0
Luxembourg,1958,9784350.0
Malta,1958,240871.36
Netherlands,1958,69837896.0
Poland,1958,180211340.0
Portugal,1958,10332086.0
Romania,1958,92768230.0
Slovakia,1958,36040884.0
Slovenia,1958,6060721.5
Spain,1958,78329540.0
Sweden,1958,71204320.0
Austria,1959,26584780.0
Belgium,1959,85019570.0
Bulgaria,1959,33379804.0
Croatia,1959,14956120.0
Cyprus,1959,3807741.5
Denmark,1959,34150704.0
Estonia,1959,5094523.0
Finland,1959,31420780.0
France,1959,232094610.0
Germany,1959,672624100.0
Greece,1959,17514508.0
Hungary,1959,39778690.0
Ireland,1959,23024760.0
Italy,1959,35811904.0
Latvia,1959,15675698.0
Lithuania,1959,29016996.0
Luxembourg,1959,10006893.0
Malta,1959,296637.44
Netherlands,1959,70018710.0
Poland,1959,132730370.0
Portugal,1959,12068390.0
Romania,1959,91591950.0
Slovakia,1959,36169640.0
Slovenia,1959,6388969.5
Spain,1959,91657630.0
Sweden,1959,70030710.0
Austria,1960,29675460.0
Belgium,1960,87898430.0
Bulgaria,1960,35327876.0
Croatia,1960,14562932.0
Cyprus,1960,3120565.0
Denmark,1960,39866556.0
Estonia,1960,6031248.0
Finland,1960,31240338.0
France,1960,263561860.0
Germany,1960,739648200.0
Greece,1960,18095070.0
Hungary,1960,43765724.0
Ireland,1960,19416748.0
Italy,1960,58288252.0
Latvia,1960,13981291.0
Lithuania,1960,25971242.0
Luxembourg,1960,11119268.0
Malta,1960,254135.03
Netherlands,1960,76322630.0
Poland,1960,145741010.0
Portugal,1960,10225923.0
Romania,1960,92610660.0
Slovakia,1960,37918256.0
Slovenia,1960,6686579.0
Spain,1960,66248980.0
Sweden,1960,79650270.0
Austria,1961,30424362.0
Belgium,1961,89546820.0
Bulgaria,1961,35492436.0
Croatia,1961,13807110.0
Cyprus,1961,2675140.0
Denmark,1961,38344332.0
Estonia,1961,7590651.5
Finland,1961,31634226.0
France,1961,282249730.0
Germany,1961,762640000.0
Greece,1961,17698558.0
Hungary,1961,46548630.0
Ireland,1961,20922734.0
Italy,1961,80337570.0
Latvia,1961,17516594.0
Lithuania,1961,28451360.0
Luxembourg,1961,11202418.0
Malta,1961,191114.25
Netherlands,1961,77776710.0
Poland,1961,153062290.0
Portugal,1961,10916629.0
Romania,1961,97556930.0
Slovakia,1961,39023708.0
Slovenia,1961,6756693.0
Spain,1961,71444050.0
Sweden,1961,72575200.0
Austria,1962,31884996.0
Belgium,1962,94935740.0
Bulgaria,1962,40134856.0
Croatia,1962,13100315.0
Cyprus,1962,3004863.5
Denmark,1962,41615090.0
Estonia,1962,8001085.0
Finland,1962,33290774.0
France,1962,297741700.0
Germany,1962,814119700.0
Greece,1962,35714640.0
Hungary,1962,48225116.0
Ireland,1962,22982604.0
Italy,1962,101532210.0
Latvia,1962,14710508.0
Lithuania,1962,25865654.0
Luxembourg,1962,11181167.0
Malta,1962,213318.08
Netherlands,1962,85155930.0
Poland,1962,162098110.0
Portugal,1962,10991124.0
Romania,1962,99256500.0
Slovakia,1962,40425120.0
Slovenia,1962,6691199.0
Spain,1962,70795240.0
Sweden,1962,69557050.0
Austria,1963,34864280.0
Belgium,1963,102594970.0
Bulgaria,1963,50035828.0
Croatia,1963,13536716.0
Cyprus,1963,2529789.2
Denmark,1963,44686184.0
Estonia,1963,9424541.0
Finland,1963,35476044.0
France,1963,296162200.0
Germany,1963,882115650.0
Greece,1963,24929672.0
Hungary,1963,53962852.0
Ireland,1963,20788862.0
Italy,1963,120006320.0
Latvia,1963,14766286.0
Lithuania,1963,26117120.0
Luxembourg,1963,11085479.0
Malta,1963,280405.9
Netherlands,1963,92680056.0
Poland,1963,177943730.0
Portugal,1963,11645762.0
Romania,1963,101398380.0
Slovakia,1963,39049324.0
Slovenia,1963,7177777.0
Spain,1963,60300430.0
Sweden,1963,70754140.0
Austria,1964,37221070.0
Belgium,1964,100680860.0
Bulgaria,1964,54448850.0
Croatia,1964,13867674.0
Cyprus,1964,2301391.2
Denmark,1964,46508428.0
Estonia,1964,10836472.0
Finland,1964,38738024.0
France,1964,324553660.0
Germany,1964,911331840.0
Greece,1964,21681340.0
Hungary,1964,61006628.0
Ireland,1964,20650632.0
Italy,1964,134051940.0
Latvia,1964,15195005.0
Lithuania,1964,26888270.0
Luxembourg,1964,11963337.0
Malta,1964,355591.2
Netherlands,1964,98262536.0
Poland,1964,187405140.0
Portugal,1964,12688059.0
Romania,1964,104300120.0
Slovakia,1964,49021484.0
Slovenia,1964,7832857.0
Spain,1964,67304290.0
Sweden,1964,72730184.0
Austria,1965,35390536.0
Belgium,1965,102336610.0
Bulgaria,1965,56286076.0
Croatia,1965,13427860.0
Cyprus,1965,2261694.5
Denmark,1965,47173492.0
Estonia,1965,12003202.0
Finland,1965,41269812.0
France,1965,315061980.0
Germany,1965,903654200.0
Greece,1965,39682240.0
Hungary,1965,58930024.0
Ireland,1965,18519104.0
Italy,1965,148735680.0
Latvia,1965,15280639.0
Lithuania,1965,26787414.0
Luxembourg,1965,11863581.0
Malta,1965,338113.94
Netherlands,1965,101243580.0
Poland,1965,194165180.0
Portugal,1965,13215428.0
Romania,1965,109909624.0
Slovakia,1965,43242656.0
Slovenia,1965,7846367.0
Spain,1965,62889628.0
Sweden,1965,73312210.0
Austria,1966,36253508.0
Belgium,1966,102171930.0
Bulgaria,1966,61813964.0
Croatia,1966,13033420.0
Cyprus,1966,2412468.0
Denmark,1966,52794060.0
Estonia,1966,13381080.0
Finland,1966,44703196.0
France,1966,330807740.0
Germany,1966,894851100.0
Greece,1966,34737880.0
Hungary,1966,59151136.0
Ireland,1966,21678334.0
Italy,1966,175949940.0
Latvia,1966,15733934.0
Lithuania,1966,27507560.0
Luxembourg,1966,11284296.0
Malta,1966,286927.84
Netherlands,1966,104249750.0
Poland,1966,198575100.0
Portugal,1966,13596855.0
Romania,1966,111429170.0
Slovakia,1966,42122920.0
Slovenia,1966,7741828.5
Spain,1966,95020360.0
Sweden,1966,81673660.0
Austria,1967,37124080.0
Belgium,1967,104718090.0
Bulgaria,1967,65958936.0
Croatia,1967,12913244.0
Cyprus,1967,2342128.5
Denmark,1967,51870350.0
Estonia,1967,14661370.0
Finland,1967,43172760.0
France,1967,347917280.0
Germany,1967,880778300.0
Greece,1967,35604796.0
Hungary,1967,56565756.0
Ireland,1967,23227500.0
Italy,1967,200451870.0
Latvia,1967,16289347.0
Lithuania,1967,28306922.0
Luxembourg,1967,11038266.0
Malta,1967,400072.16
Netherlands,1967,107593220.0
Poland,1967,207186270.0
Portugal,1967,13757985.0
Romania,1967,129983680.0
Slovakia,1967,41656196.0
Slovenia,1967,8205471.5
Spain,1967,87235010.0
Sweden,1967,75918750.0
Austria,1968,39717576.0
Belgium,1968,115760370.0
Bulgaria,1968,79427910.0
Croatia,1968,13079062.0
Cyprus,1968,2427914.5
Denmark,1968,55460340.0
Estonia,1968,15685390.0
Finland,1968,44997330.0
France,1968,364534600.0
Germany,1968,931383800.0
Greece,1968,36600170.0
Hungary,1968,59212364.0
Ireland,1968,24890092.0
Italy,1968,211496240.0
Latvia,1968,16935572.0
Lithuania,1968,29234808.0
Luxembourg,1968,11957571.0
Malta,1968,523732.16
Netherlands,1968,113852470.0
Poland,1968,222120750.0
Portugal,1968,15051046.0
Romania,1968,127393864.0
Slovakia,1968,43148004.0
Slovenia,1968,8705536.0
Spain,1968,131444770.0
Sweden,1968,84525460.0
Austria,1969,42042940.0
Belgium,1969,120856904.0
Bulgaria,1969,77104900.0
Croatia,1969,12808563.0
Cyprus,1969,2357902.2
Denmark,1969,61274468.0
Estonia,1969,16919524.0
Finland,1969,49245188.0
France,1969,380681380.0
Germany,1969,997567100.0
Greece,1969,38313360.0
Hungary,1969,59632260.0
Ireland,1969,24248376.0
Italy,1969,232764510.0
Latvia,1969,17194820.0
Lithuania,1969,29545344.0
Luxembourg,1969,12890329.0
Malta,1969,544323.8
Netherlands,1969,115994680.0
Poland,1969,242045140.0
Portugal,1969,16294698.0
Romania,1969,133990790.0
Slovakia,1969,45265492.0
Slovenia,1969,8917605.0
Spain,1969,102972420.0
Sweden,1969,91881310.0
Austria,1970,47961012.0
Belgium,1970,122937896.0
Bulgaria,1970,69697020.0
Croatia,1970,15054789.0
Cyprus,1970,2266323.0
Denmark,1970,63397564.0
Estonia,1970,18632284.0
Finland,1970,51692744.0
France,1970,404995780.0
Germany,1970,973578000.0
Greece,1970,35932500.0
Hungary,1970,67139320.0
Ireland,1970,24771832.0
Italy,1970,202426720.0
Latvia,1970,19587362.0
Lithuania,1970,31467938.0
Luxembourg,1970,13455865.0
Malta,1970,560921.75
Netherlands,1970,141512340.0
Poland,1970,254185890.0
Portugal,1970,17324560.0
Romania,1970,140942640.0
Slovakia,1970,51498436.0
Slovenia,1970,10970360.0
Spain,1970,170017260.0
Sweden,1970,97585420.0
Austria,1971,49552116.0
Belgium,1971,119035880.0
Bulgaria,1971,72710170.0
Croatia,1971,15835655.0
Cyprus,1971,2335194.2
Denmark,1971,59245500.0
Estonia,1971,20179292.0
Finland,1971,49947964.0
France,1971,434930880.0
Germany,1971,988950400.0
Greece,1971,38818310.0
Hungary,1971,66598736.0
Ireland,1971,28431574.0
Italy,1971,225956960.0
Latvia,1971,19360644.0
Lithuania,1971,32382508.0
Luxembourg,1971,12941416.0
Malta,1971,562460.6
Netherlands,1971,140625250.0
Poland,1971,262865950.0
Portugal,1971,18262322.0
Romania,1971,145244000.0
Slovakia,1971,53920984.0
Slovenia,1971,11700405.0
Spain,1971,149574020.0
Sweden,1971,88977300.0
Austria,1972,52207116.0
Belgium,1972,128349950.0
Bulgaria,1972,72644000.0
Croatia,1972,13924388.0
Cyprus,1972,2820408.8
Denmark,1972,63952056.0
Estonia,1972,21662278.0
Finland,1972,52576812.0
France,1972,458814460.0
Germany,1972,994128600.0
Greece,1972,40382040.0
Hungary,1972,66664224.0
Ireland,1972,26438420.0
Italy,1972,245158800.0
Latvia,1972,19755522.0
Lithuania,1972,33323544.0
Luxembourg,1972,13250932.0
Malta,1972,746869.75
Netherlands,1972,157752100.0
Poland,1972,280944000.0
Portugal,1972,20150046.0
Romania,1972,148477920.0
Slovakia,1972,54199776.0
Slovenia,1972,10626950.0
Spain,1972,151337140.0
Sweden,1972,87751740.0
Austria,1973,56122196.0
Belgium,1973,136374560.0
Bulgaria,1973,78620440.0
Croatia,1973,16142066.0
Cyprus,1973,410178.88
Denmark,1973,61022856.0
Estonia,1973,23322052.0
Finland,1973,59496956.0
France,1973,491629900.0
Germany,1973,1040090800.0
Greece,1973,44990936.0
Hungary,1973,69515880.0
Ireland,1973,27643412.0
Italy,1973,278015600.0
Latvia,1973,21067594.0
Lithuania,1973,35450524.0
Luxembourg,1973,13945620.0
Malta,1973,718547.06
Netherlands,1973,165128080.0
Poland,1973,288355000.0
Portugal,1973,21809714.0
Romania,1973,162906340.0
Slovakia,1973,54300784.0
Slovenia,1973,12313708.0
Spain,1973,154677400.0
Sweden,1973,90656090.0
Austria,1974,53302420.0
Belgium,1974,132740220.0
Bulgaria,1974,74552696.0
Croatia,1974,15581291.0
Cyprus,1974,-2562383.0
Denmark,1974,57123948.0
Estonia,1974,24459600.0
Finland,1974,56085710.0
France,1974,475776830.0
Germany,1974,1019782300.0
Greece,1974,42452664.0
Hungary,1974,70703510.0
Ireland,1974,29265670.0
Italy,1974,286287800.0
Latvia,1974,21121120.0
Lithuania,1974,35659092.0
Luxembourg,1974,14202043.0
Malta,1974,640137.44
Netherlands,1974,159777710.0
Poland,1974,301590460.0
Portugal,1974,22513566.0
Romania,1974,168177060.0
Slovakia,1974,54685090.0
Slovenia,1974,12137234.0
Spain,1974,168834400.0
Sweden,1974,82660210.0
Austria,1975,50434636.0
Belgium,1975,119724260.0
Bulgaria,1975,93588400.0
Croatia,1975,15869392.0
Cyprus,1975,-2371899.0
Denmark,1975,57637124.0
Estonia,1975,26250486.0
Finland,1975,53871108.0
France,1975,431763460.0
Germany,1975,961814100.0
Greece,1975,44696130.0
Hungary,1975,71283500.0
Ireland,1975,27087844.0
Italy,1975,271913730.0
Latvia,1975,22295952.0
Lithuania,1975,37456776.0
Luxembourg,1975,11645292.0
Malta,1975,568945.94
Netherlands,1975,152966940.0
Poland,1975,332065280.0
Portugal,1975,23193360.0
Romania,1975,178068670.0
Slovakia,1975,57268060.0
Slovenia,1975,12458044.0
Spain,1975,171992350.0
Sweden,1975,83349650.0
Austria,1976,54898716.0
Belgium,1976,127768730.0
Bulgaria,1976,81939640.0
Croatia,1976,15869764.0
Cyprus,1976,-1722948.0
Denmark,1976,61597850.0
Estonia,1976,27621558.0
Finland,1976,57441372.0
France,1976,475671500.0
Germany,1976,1051305200.0
Greece,1976,48105156.0
Hungary,1976,75662040.0
Ireland,1976,26841596.0
Italy,1976,298246720.0
Latvia,1976,23031602.0
Lithuania,1976,38555024.0
Luxembourg,1976,11651846.0
Malta,1976,738845.6
Netherlands,1976,169535580.0
Poland,1976,356898140.0
Portugal,1976,24324634.0
Romania,1976,189169940.0
Slovakia,1976,59629890.0
Slovenia,1976,12714774.0
Spain,1976,187477500.0
Sweden,1976,89790540.0
Austria,1977,53591244.0
Belgium,1977,124169220.0
Bulgaria,1977,81957760.0
Croatia,1977,15822505.0
Cyprus,1977,-1368834.5
Denmark,1977,63057620.0
Estonia,1977,28792042.0
Finland,1977,55053924.0
France,1977,466315460.0
Germany,1977,1014543900.0
Greece,1977,58481656.0
Hungary,1977,78514760.0
Ireland,1977,27840284.0
Italy,1977,293435600.0
Latvia,1977,23422614.0
Lithuania,1977,39053364.0
Luxembourg,1977,10739822.0
Malta,1977,747382.75
Netherlands,1977,163708060.0
Poland,1977,378013280.0
Portugal,1977,24595808.0
Romania,1977,191435000.0
Slovakia,1977,61359740.0
Slovenia,1977,12495437.0
Spain,1977,184298130.0
Sweden,1977,86747336.0
Austria,1978,53873704.0
Belgium,1978,133175510.0
Bulgaria,1978,85569816.0
Croatia,1978,16880840.0
Cyprus,1978,-1100300.8
Denmark,1978,62271948.0
Estonia,1978,30077630.0
Finland,1978,56721696.0
France,1978,484780130.0
Germany,1978,1041544500.0
Greece,1978,55433560.0
Hungary,1978,82919140.0
Ireland,1978,27088910.0
Italy,1978,312349340.0
Latvia,1978,24072792.0
Lithuania,1978,40023236.0
Luxembourg,1978,11661543.0
Malta,1978,874230.4
Netherlands,1978,169803120.0
Poland,1978,391738080.0
Portugal,1978,24737012.0
Romania,1978,205192480.0
Slovakia,1978,61922492.0
Slovenia,1978,13520659.0
Spain,1978,188001730.0
Sweden,1978,79569990.0
Austria,1979,58738940.0
Belgium,1979,133846330.0
Bulgaria,1979,81203470.0
Croatia,1979,19470888.0
Cyprus,1979,-780066.25
Denmark,1979,63665436.0
Estonia,1979,30677376.0
Finland,1979,59581476.0
France,1979,488434080.0
Germany,1979,1080923800.0
Greece,1979,56550630.0
Hungary,1979,81119790.0
Ireland,1979,30934650.0
Italy,1979,328163140.0
Latvia,1979,24394030.0
Lithuania,1979,40428132.0
Luxembourg,1979,11708156.0
Malta,1979,824363.4
Netherlands,1979,186826750.0
Poland,1979,403535100.0
Portugal,1979,26906724.0
Romania,1979,205886800.0
Slovakia,1979,60173800.0
Slovenia,1979,14847804.0
Spain,1979,190685680.0
Sweden,1979,84767160.0
Austria,1980,47077730.0
Belgium,1980,129223896.0
Bulgaria,1980,79408230.0
Croatia,1980,18243236.0
Cyprus,1980,94731.25
Denmark,1980,60832948.0
Estonia,1980,32503642.0
Finland,1980,64293784.0
France,1980,470654000.0
Germany,1980,1063688960.0
Greece,1980,58782564.0
Hungary,1980,81523010.0
Ireland,1980,29786680.0
Italy,1980,331580200.0
Latvia,1980,26715114.0
Lithuania,1980,42881452.0
Luxembourg,1980,10631721.0
Malta,1980,944725.75
Netherlands,1980,176546700.0
Poland,1980,425225730.0
Portugal,1980,28750958.0
Romania,1980,204879220.0
Slovakia,1980,60939040.0
Slovenia,1980,14273293.0
Spain,1980,202344540.0
Sweden,1980,70924680.0
Austria,1981,51299350.0
Belgium,1981,118170800.0
Bulgaria,1981,82251970.0
Croatia,1981,19444194.0
Cyprus,1981,469262.25
Denmark,1981,52103012.0
Estonia,1981,31852790.0
Finland,1981,57101720.0
France,1981,421936640.0
Germany,1981,1012898200.0
Greece,1981,56025416.0
Hungary,1981,81552800.0
Ireland,1981,28873628.0
Italy,1981,323048500.0
Latvia,1981,25272028.0
Lithuania,1981,41549284.0
Luxembourg,1981,9096218.0
Malta,1981,1068825.5
Netherlands,1981,164054930.0
Poland,1981,372572600.0
Portugal,1981,28856076.0
Romania,1981,207691890.0
Slovakia,1981,60525816.0
Slovenia,1981,15322618.0
Spain,1981,195340540.0
Sweden,1981,68420330.0
Austria,1982,49157644.0
Belgium,1982,112132780.0
Bulgaria,1982,91588210.0
Croatia,1982,17895360.0
Cyprus,1982,325739.0
Denmark,1982,53601276.0
Estonia,1982,32670244.0
Finland,1982,47499904.0
France,1982,401826980.0
Germany,1982,981015740.0
Greece,1982,55594716.0
Hungary,1982,82292070.0
Ireland,1982,27869898.0
Italy,1982,313225380.0
Latvia,1982,25626606.0
Lithuania,1982,42327252.0
Luxembourg,1982,8527476.0
Malta,1982,1240520.5
Netherlands,1982,134439420.0
Poland,1982,386478880.0
Portugal,1982,30779044.0
Romania,1982,206649170.0
Slovakia,1982,60096184.0
Slovenia,1982,14028071.0
Spain,1982,198819470.0
Sweden,1982,61033410.0
Austria,1983,47532500.0
Belgium,1983,96833030.0
Bulgaria,1983,91708970.0
Croatia,1983,19304660.0
Cyprus,1983,254003.5
Denmark,1983,51275036.0
Estonia,1983,33187068.0
Finland,1983,45742044.0
France,1983,389572030.0
Germany,1983,977936200.0
Greece,1983,61763540.0
Hungary,1983,85032856.0
Ireland,1983,28980006.0
Italy,1983,306385440.0
Latvia,1983,25604324.0
Lithuania,1983,42466736.0
Luxembourg,1983,8061347.0
Malta,1983,928530.9
Netherlands,1983,138611730.0
Poland,1983,394360320.0
Portugal,1983,31704314.0
Romania,1983,211444830.0
Slovakia,1983,60238510.0
Slovenia,1983,14987709.0
Spain,1983,193437120.0
Sweden,1983,56972284.0
Austria,1984,50405324.0
Belgium,1984,100920490.0
Bulgaria,1984,88571280.0
Croatia,1984,20053620.0
Cyprus,1984,-54139.5
Denmark,1984,50901830.0
Estonia,1984,33790304.0
Finland,1984,46811376.0
France,1984,380088450.0
Germany,1984,1000675100.0
Greece,1984,60623476.0
Hungary,1984,86963670.0
Ireland,1984,29758726.0
Italy,1984,311673800.0
Latvia,1984,26029824.0
Lithuania,1984,42977536.0
Luxembourg,1984,8682490.0
Malta,1984,1297972.0
Netherlands,1984,145612400.0
Poland,1984,403608500.0
Portugal,1984,30613608.0
Romania,1984,202633150.0
Slovakia,1984,62039656.0
Slovenia,1984,15681687.0
Spain,1984,185112660.0
Sweden,1984,55375876.0
Austria,1985,50854156.0
Belgium,1985,100121720.0
Bulgaria,1985,90683570.0
Croatia,1985,20921294.0
Cyprus,1985,20957.5
Denmark,1985,59585092.0
Estonia,1985,36805012.0
Finland,1985,54017984.0
France,1985,374515040.0
Germany,1985,1012804030.0
Greece,1985,63719668.0
Hungary,1985,81860776.0
Ireland,1985,29703428.0
Italy,1985,318577570.0
Latvia,1985,27813016.0
Lithuania,1985,45698876.0
Luxembourg,1985,8922178.0
Malta,1985,1136023.2
Netherlands,1985,148771410.0
Poland,1985,415871940.0
Portugal,1985,29019414.0
Romania,1985,206906530.0
Slovakia,1985,61227136.0
Slovenia,1985,16075515.0
Spain,1985,188917490.0
Sweden,1985,60128420.0
Austria,1986,50370844.0
Belgium,1986,96884024.0
Bulgaria,1986,92594456.0
Croatia,1986,21491506.0
Cyprus,1986,546150.75
Denmark,1986,58152616.0
Estonia,1986,36820024.0
Finland,1986,59247910.0
France,1986,364123800.0
Germany,1986,1016660700.0
Greece,1986,62161596.0
Hungary,1986,79731704.0
Ireland,1986,31020938.0
Italy,1986,314409340.0
Latvia,1986,26325400.0
Lithuania,1986,41915412.0
Luxembourg,1986,8741313.0
Malta,1986,1424599.9
Netherlands,1986,146325230.0
Poland,1986,424925570.0
Portugal,1986,32266314.0
Romania,1986,218182980.0
Slovakia,1986,61702456.0
Slovenia,1986,16672838.0
Spain,1986,177847660.0
Sweden,1986,59836700.0
Austria,1987,54126876.0
Belgium,1987,103552600.0
Bulgaria,1987,92484660.0
Croatia,1987,20902058.0
Cyprus,1987,1207551.2
Denmark,1987,57068060.0
Estonia,1987,36555920.0
Finland,1987,62053056.0
France,1987,351894370.0
Germany,1987,1004588350.0
Greece,1987,66234360.0
Hungary,1987,80844880.0
Ireland,1987,34342804.0
Italy,1987,330821900.0
Latvia,1987,21750172.0
Lithuania,1987,41041904.0
Luxembourg,1987,9074932.0
Malta,1987,1797338.5
Netherlands,1987,153675360.0
Poland,1987,437027330.0
Portugal,1987,33243442.0
Romania,1987,225606880.0
Slovakia,1987,60925188.0
Slovenia,1987,16164499.0
Spain,1987,178548930.0
Sweden,1987,57462090.0
Austria,1988,50064828.0
Belgium,1988,98221060.0
Bulgaria,1988,88142050.0
Croatia,1988,21711508.0
Cyprus,1988,1338356.5
Denmark,1988,53758216.0
Estonia,1988,36688330.0
Finland,1988,58661564.0
France,1988,358300300.0
Germany,1988,1001751550.0
Greece,1988,74040840.0
Hungary,1988,74791300.0
Ireland,1988,33870140.0
Italy,1988,338963300.0
Latvia,1988,21192774.0
Lithuania,1988,41219732.0
Luxembourg,1988,8998164.0
Malta,1988,1957455.2
Netherlands,1988,147935280.0
Poland,1988,418654850.0
Portugal,1988,34339536.0
Romania,1988,210756820.0
Slovakia,1988,59793004.0
Slovenia,1988,16737931.0
Spain,1988,186918660.0
