country,year,annual_emission_with_land_usage
Sweden,1988,55076092.0
Austria,1989,51294024.0
Belgium,1989,105075640.0
Bulgaria,1989,87553800.0
Croatia,1989,21547408.0
Cyprus,1989,1707676.2
Denmark,1989,49309116.0
Estonia,1989,37499970.0
Finland,1989,59586280.0
France,1989,379275740.0
Germany,1989,983977860.0
Greece,1989,77945540.0
Hungary,1989,72647850.0
Ireland,1989,33966224.0
Italy,1989,359985600.0
Latvia,1989,19728704.0
Lithuania,1989,41119852.0
Luxembourg,1989,9691510.0
Malta,1989,2117499.0
Netherlands,1989,164626670.0
Poland,1989,397780740.0
Portugal,1989,41586828.0
Romania,1989,212485620.0
Slovakia,1989,57116664.0
Slovenia,1989,16623977.0
Spain,1989,212180530.0
Sweden,1989,53715050.0
Austria,1990,59835976.0
Belgium,1990,118611900.0
Bulgaria,1990,77826440.0
Croatia,1990,22613120.0
Cyprus,1990,1972705.8
Denmark,1990,52729624.0
Estonia,1990,35196132.0
Finland,1990,65608388.0
France,1990,379149920.0
Germany,1990,1014775230.0
Greece,1990,87093830.0
Hungary,1990,71128700.0
Ireland,1990,18231700.0
Italy,1990,387466080.0
Latvia,1990,21260152.0
Lithuania,1990,39969744.0
Luxembourg,1990,11647362.0
Malta,1990,2378189.5
Netherlands,1990,165403440.0
Poland,1990,352878900.0
Portugal,1990,45271564.0
Romania,1990,177425420.0
Slovakia,1990,63181396.0
Slovenia,1990,15039842.0
Spain,1990,216851470.0
Sweden,1990,54848850.0
Austria,1991,63437696.0
Belgium,1991,126791390.0
Bulgaria,1991,67297860.0
Croatia,1991,31457022.0
Cyprus,1991,2634064.0
Denmark,1991,62995810.0
Estonia,1991,32760414.0
Finland,1991,60458188.0
France,1991,406436740.0
Germany,1991,976293060.0
Greece,1991,85800830.0
Hungary,1991,60106104.0
Ireland,1991,19060298.0
Italy,1991,383960260.0
Latvia,1991,20204870.0
Lithuania,1991,43339570.0
Luxembourg,1991,12784984.0
Malta,1991,2224943.8
Netherlands,1991,174265000.0
Poland,1991,350700480.0
Portugal,1991,46366268.0
Romania,1991,139754200.0
Slovakia,1991,54506660.0
Slovenia,1991,12996295.0
Spain,1991,223756000.0
Sweden,1991,55027104.0
Austria,1992,57515810.0
Belgium,1992,124143520.0
Bulgaria,1992,59959604.0
Croatia,1992,20681128.0
Cyprus,1992,3030587.5
Denmark,1992,58299396.0
Estonia,1992,22179036.0
Finland,1992,59157172.0
France,1992,400846850.0
Germany,1992,950103300.0
Greece,1992,86055620.0
Hungary,1992,54015460.0
Ireland,1992,20163924.0
Italy,1992,381011000.0
Latvia,1992,15943143.0
Lithuania,1992,26823532.0
Luxembourg,1992,12409380.0
Malta,1992,2249519.0
Netherlands,1992,174244620.0
Poland,1992,342740830.0
Portugal,1992,51256508.0
Romania,1992,129269440.0
Slovakia,1992,50555720.0
Slovenia,1992,12418338.0
Spain,1992,225194220.0
Sweden,1992,55849924.0
Austria,1993,58201816.0
Belgium,1993,129382040.0
Bulgaria,1993,60821944.0
Croatia,1993,21518366.0
Cyprus,1993,3604614.2
Denmark,1993,56833430.0
Estonia,1993,14030062.0
Finland,1993,65575896.0
France,1993,378075000.0
Germany,1993,944011650.0
Greece,1993,85535660.0
Hungary,1993,55799780.0
Ireland,1993,20563228.0
Italy,1993,372227740.0
Latvia,1993,23659390.0
Lithuania,1993,17123596.0
Luxembourg,1993,13023922.0
Malta,1993,2844001.5
Netherlands,1993,174073970.0
Poland,1993,344584580.0
Portugal,1993,47185028.0
Romania,1993,119015100.0
Slovakia,1993,47547976.0
Slovenia,1993,12519820.0
Spain,1993,215710430.0
Sweden,1993,55963764.0
Austria,1994,58655624.0
Belgium,1994,127566070.0
Bulgaria,1994,60284956.0
Croatia,1994,25498016.0
Cyprus,1994,3541706.0
Denmark,1994,63271864.0
Estonia,1994,13223194.0
Finland,1994,67207660.0
France,1994,370481200.0
Germany,1994,927707200.0
Greece,1994,88032230.0
Hungary,1994,57924544.0
Ireland,1994,22902784.0
Italy,1994,364925280.0
Latvia,1994,1304268.0
Lithuania,1994,42220056.0
Luxembourg,1994,11736090.0
Malta,1994,2577150.8
Netherlands,1994,174590000.0
Poland,1994,343585800.0
Portugal,1994,46727996.0
Romania,1994,121097784.0
Slovakia,1994,45811570.0
Slovenia,1994,12767832.0
Spain,1994,206921970.0
Sweden,1994,58232816.0
Austria,1995,61456544.0
Belgium,1995,127845940.0
Bulgaria,1995,65427844.0
Croatia,1995,13373083.0
Cyprus,1995,3718493.0
Denmark,1995,59336540.0
Estonia,1995,12578510.0
Finland,1995,64013210.0
France,1995,373405380.0
Germany,1995,921046900.0
Greece,1995,88261760.0
Hungary,1995,56169120.0
Ireland,1995,24842408.0
Italy,1995,397015230.0
Latvia,1995,3205598.0
Lithuania,1995,24379548.0
Luxembourg,1995,9224519.0
Malta,1995,2376904.0
Netherlands,1995,177831950.0
Poland,1995,339115700.0
Portugal,1995,45346844.0
Romania,1995,123620080.0
Slovakia,1995,45831016.0
Slovenia,1995,13148700.0
Spain,1995,261773900.0
Sweden,1995,61111256.0
Austria,1996,65024108.0
Belgium,1996,131979350.0
Bulgaria,1996,73437840.0
Croatia,1996,14015044.0
Cyprus,1996,4116739.5
Denmark,1996,72902260.0
Estonia,1996,14106976.0
Finland,1996,69425740.0
France,1996,389568420.0
Germany,1996,940432800.0
Greece,1996,88053740.0
Hungary,1996,58212004.0
Ireland,1996,30197694.0
Italy,1996,391957900.0
Latvia,1996,769097.0
Lithuania,1996,22644038.0
Luxembourg,1996,9331950.0
Malta,1996,2441394.2
Netherlands,1996,186581520.0
Poland,1996,355996260.0
Portugal,1996,40047760.0
Romania,1996,129114456.0
Slovakia,1996,45965892.0
Slovenia,1996,13358401.0
Spain,1996,237857710.0
Sweden,1996,62953284.0
Austria,1997,65683484.0
Belgium,1997,126478550.0
Bulgaria,1997,48141864.0
Croatia,1997,25482478.0
Cyprus,1997,4701666.5
Denmark,1997,63484504.0
Estonia,1997,15405214.0
Finland,1997,72826590.0
France,1997,380175360.0
Germany,1997,916530400.0
Greece,1997,90905540.0
Hungary,1997,56854536.0
Ireland,1997,31535608.0
Italy,1997,412247940.0
Latvia,1997,-173296.0
Lithuania,1997,21746174.0
Luxembourg,1997,8654468.0
Malta,1997,2448417.5
Netherlands,1997,179794380.0
Poland,1997,348274900.0
Portugal,1997,49044430.0
Romania,1997,115396800.0
Slovakia,1997,46113852.0
Slovenia,1997,14526778.0
Spain,1997,230739360.0
Sweden,1997,58578024.0
Austria,1998,67630184.0
Belgium,1998,132630856.0
Bulgaria,1998,48228030.0
Croatia,1998,26472100.0
Cyprus,1998,4652290.0
Denmark,1998,57600164.0
Estonia,1998,12440768.0
Finland,1998,69772300.0
France,1998,398595360.0
Germany,1998,903923300.0
Greece,1998,94785810.0
Hungary,1998,57984830.0
Ireland,1998,33067402.0
Italy,1998,443245120.0
Latvia,1998,-2450434.5
Lithuania,1998,27578884.0
Luxembourg,1998,7778196.5
Malta,1998,2424505.8
Netherlands,1998,179922430.0
Poland,1998,325121150.0
Portugal,1998,53203570.0
Romania,1998,106512140.0
Slovakia,1998,46281910.0
Slovenia,1998,14830398.0
Spain,1998,248781800.0
Sweden,1998,59565596.0
Austria,1999,65159780.0
Belgium,1999,129887610.0
Bulgaria,1999,38358252.0
Croatia,1999,7058920.0
Cyprus,1999,5526772.0
Denmark,1999,55479524.0
Estonia,1999,12884410.0
Finland,1999,70691860.0
France,1999,393830200.0
Germany,1999,874400450.0
Greece,1999,92975300.0
Hungary,1999,51942336.0
Ireland,1999,36099116.0
Italy,1999,435961760.0
Latvia,1999,-1542090.0
Lithuania,1999,26533850.0
Luxembourg,1999,8492748.0
Malta,1999,2477417.8
Netherlands,1999,174648180.0
Poland,1999,312867780.0
Portugal,1999,70105050.0
Romania,1999,94211170.0
Slovakia,1999,45872600.0
Slovenia,1999,14762087.0
Spain,1999,275157700.0
Sweden,1999,56426530.0
Austria,2000,64419012.0
Belgium,2000,129409490.0
Bulgaria,2000,35898670.0
Croatia,2000,6279924.0
Cyprus,2000,5667246.5
Denmark,2000,54053212.0
Estonia,2000,8394047.0
Finland,2000,68429256.0
France,2000,386884600.0
Germany,2000,878691200.0
Greece,2000,97957010.0
Hungary,2000,50427890.0
Ireland,2000,42239724.0
Italy,2000,435809730.0
Latvia,2000,-3600880.0
Lithuania,2000,-1038636.0
Luxembourg,2000,8879967.0
Malta,2000,2456061.8
Netherlands,2000,175184540.0
Poland,2000,289561400.0
Portugal,2000,61759520.0
Romania,2000,92559150.0
Slovakia,2000,41113064.0
Slovenia,2000,14663266.0
Spain,2000,279862460.0
Sweden,2000,55235020.0
Austria,2001,68150770.0
Belgium,2001,127949656.0
Bulgaria,2001,36572748.0
Croatia,2001,6920433.0
Cyprus,2001,5267265.5
Denmark,2001,53725976.0
Estonia,2001,6644088.0
Finland,2001,74733220.0
France,2001,388383940.0
Germany,2001,894052400.0
Greece,2001,99752240.0
Hungary,2001,51411124.0
Ireland,2001,43924492.0
Italy,2001,430200420.0
Latvia,2001,-1717560.0
Lithuania,2001,2020825.0
Luxembourg,2001,9328636.0
Malta,2001,2686398.8
Netherlands,2001,181590930.0
Poland,2001,271944200.0
Portugal,2001,62656240.0
Romania,2001,99130830.0
Slovakia,2001,43026156.0
Slovenia,2001,16124945.0
Spain,2001,284641920.0
Sweden,2001,56416964.0
Austria,2002,69882280.0
Belgium,2002,128967290.0
Bulgaria,2002,35290260.0
Croatia,2002,8927913.0
Cyprus,2002,7509518.5
Denmark,2002,53109948.0
Estonia,2002,12210935.0
Finland,2002,78748980.0
France,2002,382438620.0
Germany,2002,882236740.0
Greece,2002,99035590.0
Hungary,2002,52069004.0
Ireland,2002,41908876.0
Italy,2002,430418620.0
Latvia,2002,-1955948.0
Lithuania,2002,-2299578.0
Luxembourg,2002,10080874.0
Malta,2002,2722385.0
Netherlands,2002,179659980.0
Poland,2002,254788380.0
Portugal,2002,63718480.0
Romania,2002,102199480.0
Slovakia,2002,42398900.0
Slovenia,2002,16578067.0
Spain,2002,316256000.0
Sweden,2002,57820224.0
Austria,2003,76513520.0
Belgium,2003,131509660.0
Bulgaria,2003,40407200.0
Croatia,2003,9694617.0
Cyprus,2003,7434559.0
Denmark,2003,58513370.0
Estonia,2003,9853692.0
Finland,2003,87229944.0
France,2003,389716160.0
Germany,2003,886138900.0
Greece,2003,100931840.0
Hungary,2003,55204104.0
Ireland,2003,41364104.0
Italy,2003,453649760.0
Latvia,2003,3402799.5
Lithuania,2003,3649435.0
Luxembourg,2003,10555183.0
Malta,2003,2908987.5
Netherlands,2003,190664450.0
Poland,2003,282706530.0
Portugal,2003,57377636.0
Romania,2003,91553256.0
Slovakia,2003,39149820.0
Slovenia,2003,16605193.0
Spain,2003,321936220.0
Sweden,2003,59894600.0
Austria,2004,76275190.0
Belgium,2004,132801740.0
Bulgaria,2004,35216350.0
Croatia,2004,11355058.0
Cyprus,2004,8390249.0
Denmark,2004,58542996.0
Estonia,2004,17189692.0
Finland,2004,84520744.0
France,2004,388765380.0
Germany,2004,871898400.0
Greece,2004,102159760.0
Hungary,2004,53409750.0
Ireland,2004,41717044.0
Italy,2004,457059780.0
Latvia,2004,10186944.0
Lithuania,2004,20399116.0
Luxembourg,2004,11871547.0
Malta,2004,2780246.0
Netherlands,2004,190799200.0
Poland,2004,273242780.0
Portugal,2004,54381800.0
Romania,2004,98321430.0
Slovakia,2004,41128684.0
Slovenia,2004,16816078.0
Spain,2004,334353860.0
Sweden,2004,63201704.0
Austria,2005,77370010.0
Belgium,2005,128000290.0
Bulgaria,2005,36303924.0
Croatia,2005,11967049.0
Cyprus,2005,7220015.0
Denmark,2005,53498790.0
Estonia,2005,13772316.0
Finland,2005,73313950.0
France,2005,391522700.0
Germany,2005,849308000.0
Greece,2005,104843790.0
Hungary,2005,53151944.0
Ireland,2005,43304000.0
Italy,2005,451216030.0
Latvia,2005,14354578.0
Lithuania,2005,9898422.0
Luxembourg,2005,12134755.0
Malta,2005,2586968.8
Netherlands,2005,188145330.0
Poland,2005,280991800.0
Portugal,2005,59168950.0
Romania,2005,90714540.0
Slovakia,2005,42321600.0
Slovenia,2005,16846318.0
Spain,2005,345367070.0
Sweden,2005,59613820.0
Austria,2006,75666776.0
Belgium,2006,125881770.0
Bulgaria,2006,37159890.0
Croatia,2006,11928073.0
Cyprus,2006,7571728.5
Denmark,2006,59406332.0
Estonia,2006,13236791.0
Finland,2006,82894880.0
France,2006,382906780.0
Germany,2006,863190340.0
Greece,2006,102747690.0
Hungary,2006,53031996.0
Ireland,2006,43763588.0
Italy,2006,443536060.0
Latvia,2006,7441262.0
Lithuania,2006,6897425.0
Luxembourg,2006,12089275.0
Malta,2006,2608273.8
Netherlands,2006,181806000.0
Poland,2006,281833400.0
Portugal,2006,52867704.0
Romania,2006,85940460.0
Slovakia,2006,43058490.0
Slovenia,2006,17017946.0
Spain,2006,333600700.0
Sweden,2006,57807316.0
Austria,2007,73536580.0
Belgium,2007,122506580.0
Bulgaria,2007,41788148.0
Croatia,2007,20079848.0
Cyprus,2007,7522679.0
Denmark,2007,57267372.0
Estonia,2007,15645380.0
Finland,2007,82153680.0
France,2007,369888700.0
Germany,2007,837065150.0
Greece,2007,104709220.0
Hungary,2007,52576516.0
Ireland,2007,42501660.0
Italy,2007,464459740.0
Latvia,2007,6138969.0
Lithuania,2007,8379644.0
Luxembourg,2007,11472076.0
Malta,2007,2670616.5
Netherlands,2007,181324320.0
Poland,2007,297112200.0
Portugal,2007,58825564.0
Romania,2007,94504696.0
Slovakia,2007,42955412.0
Slovenia,2007,24433398.0
Spain,2007,343311780.0
Sweden,2007,57567324.0
Austria,2008,73124600.0
Belgium,2008,121679096.0
Bulgaria,2008,41209500.0
Croatia,2008,14972964.0
Cyprus,2008,8240105.0
Denmark,2008,52900988.0
Estonia,2008,14821124.0
Finland,2008,73931310.0
France,2008,361012220.0
Germany,2008,839341630.0
Greece,2008,100972424.0
Hungary,2008,51654430.0
Ireland,2008,42511730.0
Italy,2008,434900480.0
Latvia,2008,6099393.0
Lithuania,2008,11559703.0
Luxembourg,2008,11245147.0
Malta,2008,2631111.8
Netherlands,2008,183402110.0
Poland,2008,287912770.0
Portugal,2008,53888244.0
Romania,2008,95683450.0
Slovakia,2008,43777268.0
Slovenia,2008,20993558.0
Spain,2008,311746750.0
Sweden,2008,55537604.0
Austria,2009,66338284.0
Belgium,2009,109363010.0
Bulgaria,2009,35626456.0
Croatia,2009,14967040.0
Cyprus,2009,6951539.0
Denmark,2009,50235308.0
Estonia,2009,12667454.0
Finland,2009,69393810.0
France,2009,342699900.0
Germany,2009,771523000.0
Greece,2009,95540310.0
Hungary,2009,40345390.0
Ireland,2009,60411960.0
Italy,2009,395373760.0
Latvia,2009,4924751.5
Lithuania,2009,13997424.0
Luxembourg,2009,10709969.0
Malta,2009,2555802.5
Netherlands,2009,177764590.0
Poland,2009,248021040.0
Portugal,2009,49436840.0
Romania,2009,111431430.0
Slovakia,2009,40970430.0
Slovenia,2009,19133952.0
Spain,2009,273630340.0
Sweden,2009,52364148.0
Austria,2010,70789670.0
Belgium,2010,115769880.0
Bulgaria,2010,39942130.0
Croatia,2010,12904094.0
Cyprus,2010,6548283.0
Denmark,2010,56665610.0
Estonia,2010,16061322.0
Finland,2010,78680720.0
France,2010,347831400.0
Germany,2010,818476160.0
Greece,2010,87569840.0
Hungary,2010,41066220.0
Ireland,2010,47795700.0
Italy,2010,391514620.0
Latvia,2010,6673033.5
Lithuania,2010,14095666.0
Luxembourg,2010,11285600.0
Malta,2010,2585280.0
Netherlands,2010,188451280.0
Poland,2010,296560930.0
Portugal,2010,46088864.0
Romania,2010,85428520.0
Slovakia,2010,42484268.0
Slovenia,2010,19771730.0
Spain,2010,254061840.0
Sweden,2010,57913430.0
Austria,2011,68800856.0
Belgium,2011,105849576.0
Bulgaria,2011,50316556.0
Croatia,2011,13862470.0
Cyprus,2011,6127990.5
Denmark,2011,45865624.0
Estonia,2011,16245544.0
Finland,2011,71782080.0
France,2011,326675900.0
Germany,2011,793163140.0
Greece,2011,84809480.0
Hungary,2011,40529530.0
Ireland,2011,45115904.0
Italy,2011,390181020.0
Latvia,2011,7417084.5
Lithuania,2011,15146731.0
Luxembourg,2011,11214997.0
Malta,2011,2555005.0
Netherlands,2011,174329400.0
Poland,2011,278600800.0
Portugal,2011,46843420.0
Romania,2011,83545980.0
Slovakia,2011,42536776.0
Slovenia,2011,19938112.0
Spain,2011,295984800.0
Sweden,2011,53427984.0
Austria,2012,65853372.0
Belgium,2012,104472190.0
Bulgaria,2012,44188536.0
Croatia,2012,28716762.0
Cyprus,2012,5372439.0
Denmark,2012,42635896.0
Estonia,2012,15606214.0
Finland,2012,65575200.0
France,2012,332439000.0
Germany,2012,803034750.0
Greece,2012,81346450.0
Hungary,2012,36057700.0
Ireland,2012,41842396.0
Italy,2012,356078400.0
Latvia,2012,8952074.0
Lithuania,2012,16712645.0
Luxembourg,2012,10974705.0
Malta,2012,2683737.2
Netherlands,2012,172120300.0
Poland,2012,268242850.0
Portugal,2012,47814944.0
Romania,2012,90228700.0
Slovakia,2012,39972270.0
Slovenia,2012,19998484.0
Spain,2012,262239460.0
Sweden,2012,50942750.0
Austria,2013,66602132.0
Belgium,2013,104450200.0
Bulgaria,2013,35810492.0
Croatia,2013,16556041.0
Cyprus,2013,4708619.5
Denmark,2013,46240196.0
Estonia,2013,17855094.0
Finland,2013,68014160.0
France,2013,337233250.0
Germany,2013,825475460.0
Greece,2013,62354110.0
Hungary,2013,33852590.0
Ireland,2013,38566100.0
Italy,2013,322810050.0
Latvia,2013,7231229.0
Lithuania,2013,18139816.0
Luxembourg,2013,10470885.0
Malta,2013,2345796.8
Netherlands,2013,170764020.0
Poland,2013,269394530.0
Portugal,2013,44078150.0
Romania,2013,72906380.0
Slovakia,2013,39204380.0
Slovenia,2013,18963188.0
Spain,2013,237061980.0
Sweden,2013,49470828.0
Austria,2014,62968176.0
Belgium,2014,99580850.0
Bulgaria,2014,40309410.0
Croatia,2014,16834156.0
Cyprus,2014,7522457.5
Denmark,2014,39044020.0
Estonia,2014,18064260.0
Finland,2014,64552320.0
France,2014,306288900.0
Germany,2014,788546050.0
Greece,2014,61067384.0
Hungary,2014,34248160.0
Ireland,2014,36102384.0
Italy,2014,301953860.0
Latvia,2014,7527003.0
Lithuania,2014,16104425.0
Luxembourg,2014,9957158.0
Malta,2014,2330634.0
Netherlands,2014,163219400.0
Poland,2014,256396580.0
Portugal,2014,43454644.0
Romania,2014,73470000.0
Slovakia,2014,35197080.0
Slovenia,2014,17005064.0
Spain,2014,238209650.0
Sweden,2014,48232936.0
Austria,2015,64573284.0
Belgium,2015,104728440.0
Bulgaria,2015,42191376.0
Croatia,2015,16515703.0
Cyprus,2015,5714456.5
Denmark,2015,36880100.0
Estonia,2015,15262637.0
Finland,2015,62366880.0
France,2015,317056300.0
Germany,2015,790941100.0
Greece,2015,55002280.0
Hungary,2015,38057136.0
Ireland,2015,35866308.0
Italy,2015,318795940.0
Latvia,2015,10910232.0
Lithuania,2015,13084697.0
Luxembourg,2015,9446407.0
Malta,2015,1645324.2
Netherlands,2015,169245330.0
Poland,2015,260743420.0
Portugal,2015,47455590.0
Romania,2015,65545440.0
Slovakia,2015,35074224.0
Slovenia,2015,17179962.0
Spain,2015,249348300.0
Sweden,2015,48341440.0
Austria,2016,65110730.0
Belgium,2016,101860450.0
Bulgaria,2016,39397710.0
Croatia,2016,14569187.0
Cyprus,2016,7463658.0
Denmark,2016,38902740.0
Estonia,2016,16234730.0
Finland,2016,66228840.0
France,2016,315408800.0
Germany,2016,796912260.0
Greece,2016,48601990.0
Hungary,2016,39181380.0
Ireland,2016,37991596.0
Italy,2016,320756540.0
Latvia,2016,8275662.5
Lithuania,2016,12208485.0
Luxembourg,2016,9208988.0
Malta,2016,1329147.8
Netherlands,2016,170111220.0
Poland,2016,274659170.0
Portugal,2016,45639820.0
Romania,2016,62549988.0
Slovakia,2016,34807972.0
Slovenia,2016,17929858.0
Spain,2016,239522900.0
Sweden,2016,48409060.0
Austria,2017,67720936.0
Belgium,2017,102366530.0
Bulgaria,2017,42161064.0
Croatia,2017,16178353.0
Cyprus,2017,6876425.0
Denmark,2017,35862676.0
Estonia,2017,18703648.0
Finland,2017,66059416.0
France,2017,322053570.0
Germany,2017,781652860.0
Greece,2017,50530024.0
Hungary,2017,41680964.0
Ireland,2017,31901490.0
Italy,2017,310855460.0
Latvia,2017,9457352.0
Lithuania,2017,14553602.0
Luxembourg,2017,9373479.0
Malta,2017,1506656.6
Netherlands,2017,167322660.0
Poland,2017,289334820.0
Portugal,2017,49864890.0
Romania,2017,64551180.0
Slovakia,2017,35429364.0
Slovenia,2017,17068920.0
Spain,2017,255303150.0
Sweden,2017,48270070.0
Austria,2018,64747220.0
Belgium,2018,103057790.0
Bulgaria,2018,38024344.0
Croatia,2018,14309268.0
Cyprus,2018,6759369.5
Denmark,2018,35666424.0
Estonia,2018,17867320.0
Finland,2018,68349560.0
France,2018,302721340.0
Germany,2018,745749100.0
Greece,2018,50994804.0
Hungary,2018,42264740.0
Ireland,2018,32383244.0
Italy,2018,307649900.0
Latvia,2018,10256626.0
Lithuania,2018,12991658.0
Luxembourg,2018,9668253.0
Malta,2018,1524421.2
Netherlands,2018,163010340.0
Poland,2018,298163740.0
Portugal,2018,45512344.0
Romania,2018,63898640.0
Slovakia,2018,34903516.0
Slovenia,2018,17167974.0
Spain,2018,249668450.0
Sweden,2018,47317430.0
Austria,2019,66160908.0
Belgium,2019,102636440.0
Bulgaria,2019,36843480.0
Croatia,2019,14366387.0
Cyprus,2019,6859091.0
Denmark,2019,31870938.0
Estonia,2019,12544006.0
Finland,2019,65324944.0
France,2019,297019780.0
Germany,2019,698699260.0
Greece,2019,42433764.0
Hungary,2019,42454110.0
Ireland,2019,31246552.0
Italy,2019,300025500.0
Latvia,2019,10389707.0
Lithuania,2019,12725025.0
Luxembourg,2019,9870969.0
Malta,2019,1628062.4
Netherlands,2019,157202460.0
Poland,2019,277587800.0
Portugal,2019,41229924.0
Romania,2019,59272160.0
Slovakia,2019,32159206.0
Slovenia,2019,16416755.0
Spain,2019,231261940.0
Sweden,2019,46415460.0
Austria,2020,59957256.0
Belgium,2020,94161336.0
Bulgaria,2020,31149400.0
Croatia,2020,13356239.0
Cyprus,2020,7128220.0
Denmark,2020,29105060.0
Estonia,2020,9760928.0
Finland,2020,60668344.0
France,2020,263456030.0
Germany,2020,638599230.0
Greece,2020,30688450.0
Hungary,2020,40702748.0
Ireland,2020,103431290.0
Italy,2020,263102050.0
Latvia,2020,10141426.0
Lithuania,2020,12420055.0
Luxembourg,2020,8168999.5
Malta,2020,1577964.0
Netherlands,2020,136767020.0
Poland,2020,263564030.0
Portugal,2020,35079884.0
Romania,2020,55822650.0
Slovakia,2020,29125138.0
Slovenia,2020,14891102.0
Spain,2020,193951900.0
Sweden,2020,42195308.0
Austria,2021,63929456.0
Belgium,2021,98884560.0
Bulgaria,2021,37070284.0
Croatia,2021,13869922.0
Cyprus,2021,6941092.0
Denmark,2021,30326150.0
Estonia,2021,11247872.0
Finland,2021,62710730.0
France,2021,290015940.0
Germany,2021,670440900.0
Greece,2021,31499352.0
Hungary,2021,42278740.0
Ireland,2021,76970900.0
Italy,2021,297446270.0
Latvia,2021,10941209.0
Lithuania,2021,12564862.0
Luxembourg,2021,8533514.0
Malta,2021,1588956.6
Netherlands,2021,140169900.0
Poland,2021,293902430.0
Portugal,2021,33117320.0
Romania,2021,57955756.0
Slovakia,2021,32903660.0
Slovenia,2021,14763726.0
Spain,2021,210309710.0
Sweden,2021,44074136.0
Austria,2022,59629710.0
Belgium,2022,92951730.0
Bulgaria,2022,41167570.0
Croatia,2022,13974498.0
Cyprus,2022,6957324.0
Denmark,2022,29710218.0
Estonia,2022,11412914.0
Finland,2022,63538690.0
France,2022,281911420.0
Germany,2022,657515900.0
Greece,2022,32414146.0
Hungary,2022,38446772.0
Ireland,2022,76318030.0
Italy,2022,298672200.0
Latvia,2022,10582283.0
Lithuania,2022,11264966.0
Luxembourg,2022,7628752.0
Malta,2022,1638785.5
Netherlands,2022,125692680.0
Poland,2022,287777340.0
Portugal,2022,34630460.0
Romania,2022,53124204.0
Slovakia,2022,31651036.0
Slovenia,2022,14076636.0
Spain,2022,225618380.0
Sweden,2022,43668116.0
