time_period,country,sex_tag,sex,obs_value
2018,Austria,F,Females,19.0
2019,Austria,F,Females,25.0
2006,Belgium,F,Females,15.0
2007,Belgium,F,Females,14.5
2009,Belgium,F,Females,12.5
2010,Belgium,F,Females,13.4
2012,Belgium,F,Females,12.2
2013,Belgium,F,Females,10.7
2016,Belgium,F,Females,12.7
2023,Belgium,F,Females,15.2
2022,Bulgaria,F,Females,31.3
2023,Bulgaria,F,Females,33.4
2006,Cyprus,F,Females,35.0
2008,Cyprus,F,Females,32.8
2010,Cyprus,F,Females,38.0
2011,Cyprus,F,Females,40.9
2012,Cyprus,F,Females,39.3
2013,Cyprus,F,Females,34.3
2015,Cyprus,F,Females,33.0
2016,Cyprus,F,Females,32.6
2018,Cyprus,F,Females,24.5
2019,Cyprus,F,Females,26.9
2020,Cyprus,F,Females,27.5
2022,Cyprus,F,Females,30.2
2004,Germany,F,Females,16.3
2007,Germany,F,Females,19.1
2013,Germany,F,Females,13.9
2015,Germany,F,Females,13.3
2016,Germany,F,Females,13.4
2017,Germany,F,Females,13.8
2018,Germany,F,Females,13.5
2019,Germany,F,Females,13.8
2022,Germany,F,Females,15.1
2023,Germany,F,Females,15.3
2006,Denmark,F,Females,17.9
2019,Denmark,F,Females,18.6
2020,Denmark,F,Females,32.9
2022,Denmark,F,Females,31.3
2012,Estonia,F,Females,33.7
2019,Estonia,F,Females,19.5
2020,Estonia,F,Females,19.4
2022,Estonia,F,Females,16.5
2023,Estonia,F,Females,28.3
2006,Greece,F,Females,40.0
2007,Greece,F,Females,40.8
2008,Greece,F,Females,40.5
2010,Greece,F,Females,39.1
2011,Greece,F,Females,35.9
2012,Greece,F,Females,37.3
2013,Greece,F,Females,33.1
2015,Greece,F,Females,34.2
2016,Greece,F,Females,26.9
2017,Greece,F,Females,21.7
2018,Greece,F,Females,21.5
2019,Greece,F,Females,27.4
2020,Greece,F,Females,30.6
2022,Greece,F,Females,22.8
2023,Greece,F,Females,31.9
2007,Spain,F,Females,23.5
2008,Spain,F,Females,25.3
2009,Spain,F,Females,25.3
2010,Spain,F,Females,23.7
2011,Spain,F,Females,25.9
2012,Spain,F,Females,17.4
2013,Spain,F,Females,17.4
2015,Spain,F,Females,23.3
2016,Spain,F,Females,20.4
2017,Spain,F,Females,19.3
2018,Spain,F,Females,20.9
2019,Spain,F,Females,22.3
2020,Spain,F,Females,20.9
2004,Finland,F,Females,42.7
2006,Finland,F,Females,39.4
2009,Finland,F,Females,34.8
2010,Finland,F,Females,32.2
2011,Finland,F,Females,31.8
2012,Finland,F,Females,25.9
2013,Finland,F,Females,29.7
2015,Finland,F,Females,29.4
2016,Finland,F,Females,19.9
2017,Finland,F,Females,18.6
2018,Finland,F,Females,16.3
2019,Finland,F,Females,14.2
2020,Finland,F,Females,14.1
2022,Finland,F,Females,16.6
2023,Finland,F,Females,16.1
2010,France,F,Females,17.6
2019,France,F,Females,22.3
2020,France,F,Females,16.6
2004,Hungary,F,Females,23.4
2006,Hungary,F,Females,20.2
2007,Hungary,F,Females,19.1
2008,Hungary,F,Females,17.7
2009,Hungary,F,Females,15.6
2010,Hungary,F,Females,15.7
2011,Hungary,F,Females,14.1
2012,Hungary,F,Females,14.8
2013,Hungary,F,Females,16.1
2015,Hungary,F,Females,13.8
2016,Hungary,F,Females,14.8
2017,Hungary,F,Females,9.6
2018,Hungary,F,Females,11.2
2019,Hungary,F,Females,13.7
2020,Hungary,F,Females,17.1
2022,Hungary,F,Females,11.7
2023,Hungary,F,Females,14.0
2004,Ireland,F,Females,52.0
2006,Ireland,F,Females,46.8
2008,Ireland,F,Females,40.3
2009,Ireland,F,Females,36.7
2010,Ireland,F,Females,35.8
2011,Ireland,F,Females,33.9
2012,Ireland,F,Females,35.2
2013,Ireland,F,Females,30.4
2015,Ireland,F,Females,27.7
2016,Ireland,F,Females,28.8
2018,Ireland,F,Females,24.8
2019,Ireland,F,Females,22.0
2020,Ireland,F,Females,23.2
2022,Ireland,F,Females,23.9
2023,Ireland,F,Females,23.8
2006,Italy,F,Females,31.3
2007,Italy,F,Females,30.3
2008,Italy,F,Females,29.2
2009,Italy,F,Females,22.8
2010,Italy,F,Females,23.6
2011,Italy,F,Females,27.6
2012,Italy,F,Females,24.9
2013,Italy,F,Females,21.2
2015,Italy,F,Females,18.9
2016,Italy,F,Females,18.2
2017,Italy,F,Females,21.6
2019,Italy,F,Females,16.1
2020,Italy,F,Females,16.7
2022,Italy,F,Females,14.5
2023,Italy,F,Females,11.2
2020,Lithuania,F,Females,20.7
2022,Lithuania,F,Females,15.4
2023,Lithuania,F,Females,17.2
2019,Luxembourg,F,Females,23.6
2022,Luxembourg,F,Females,17.8
2007,Latvia,F,Females,23.9
2008,Latvia,F,Females,29.1
2017,Latvia,F,Females,18.2
2019,Latvia,F,Females,24.8
2015,Malta,F,Females,19.0
2016,Malta,F,Females,16.9
2017,Malta,F,Females,23.0
2018,Malta,F,Females,23.4
2019,Malta,F,Females,18.2
2020,Malta,F,Females,14.7
2004,Netherlands,F,Females,10.5
2007,Netherlands,F,Females,14.4
2008,Netherlands,F,Females,11.5
2009,Netherlands,F,Females,9.0
2010,Netherlands,F,Females,8.7
2011,Netherlands,F,Females,8.5
2012,Netherlands,F,Females,12.1
2015,Netherlands,F,Females,17.1
2016,Netherlands,F,Females,11.0
2017,Netherlands,F,Females,12.3
2018,Netherlands,F,Females,12.6
2020,Netherlands,F,Females,13.9
2022,Netherlands,F,Females,15.2
2023,Netherlands,F,Females,12.9
2006,Poland,F,Females,17.1
2007,Poland,F,Females,18.3
2008,Poland,F,Females,17.0
2009,Poland,F,Females,20.1
2011,Poland,F,Females,15.7
2012,Poland,F,Females,16.3
2013,Poland,F,Females,12.9
2015,Poland,F,Females,10.8
2016,Poland,F,Females,11.2
2017,Poland,F,Females,10.4
2018,Poland,F,Females,9.6
2020,Poland,F,Females,11.9
2022,Poland,F,Females,9.7
2023,Poland,F,Females,14.6
2006,Portugal,F,Females,26.1
2007,Portugal,F,Females,29.2
2008,Portugal,F,Females,27.2
2009,Portugal,F,Females,19.7
2010,Portugal,F,Females,25.6
2012,Portugal,F,Females,24.3
2013,Portugal,F,Females,19.0
2015,Portugal,F,Females,24.3
2016,Portugal,F,Females,23.7
2017,Portugal,F,Females,16.5
2018,Portugal,F,Females,14.5
2019,Portugal,F,Females,15.6
2020,Portugal,F,Females,19.7
2023,Portugal,F,Females,14.2
2004,Romania,F,Females,42.4
2006,Romania,F,Females,37.6
2007,Romania,F,Females,30.4
2008,Romania,F,Females,33.7
2009,Romania,F,Females,39.3
2011,Romania,F,Females,27.3
2012,Romania,F,Females,30.8
2013,Romania,F,Females,30.9
2015,Romania,F,Females,27.0
2016,Romania,F,Females,27.7
2017,Romania,F,Females,25.0
2018,Romania,F,Females,26.6
2019,Romania,F,Females,26.1
2020,Romania,F,Females,27.0
2022,Romania,F,Females,29.9
2023,Romania,F,Females,29.9
2004,Sweden,F,Females,38.7
2007,Sweden,F,Females,31.1
2008,Sweden,F,Females,29.2
2009,Sweden,F,Females,26.7
2010,Sweden,F,Females,24.7
2011,Sweden,F,Females,25.9
2012,Sweden,F,Females,26.7
2013,Sweden,F,Females,25.4
2015,Sweden,F,Females,26.3
2016,Sweden,F,Females,25.0
2017,Sweden,F,Females,22.0
2019,Sweden,F,Females,25.3
2020,Sweden,F,Females,24.5
2022,Sweden,F,Females,24.0
2023,Sweden,F,Females,28.7
2017,Slovakia,F,Females,15.6
2018,Slovakia,F,Females,16.2
2020,Slovakia,F,Females,13.2
2006,United Kingdom,F,Females,28.0
2009,United Kingdom,F,Females,24.9
2012,United Kingdom,F,Females,22.3
2013,United Kingdom,F,Females,21.4
2015,United Kingdom,F,Females,23.7
2016,United Kingdom,F,Females,16.9
2017,United Kingdom,F,Females,21.9
2018,United Kingdom,F,Females,15.4
2019,United Kingdom,F,Females,19.6
2008,Austria,M,Males,89.0
2009,Austria,M,Males,88.1
2010,Austria,M,Males,86.0
2011,Austria,M,Males,83.3
2012,Austria,M,Males,83.9
2013,Austria,M,Males,88.4
2015,Austria,M,Males,86.3
2016,Austria,M,Males,85.8
2017,Austria,M,Males,89.3
2018,Austria,M,Males,81.0
2019,Austria,M,Males,75.0
2020,Austria,M,Males,85.5
2022,Austria,M,Males,85.4
2023,Austria,M,Males,81.8
2004,Belgium,M,Males,85.0
2006,Belgium,M,Males,85.0
2007,Belgium,M,Males,85.5
2009,Belgium,M,Males,87.5
2010,Belgium,M,Males,86.6
2012,Belgium,M,Males,87.8
2013,Belgium,M,Males,89.3
2015,Belgium,M,Males,90.5
2016,Belgium,M,Males,87.3
2018,Belgium,M,Males,92.6
2019,Belgium,M,Males,86.6
2020,Belgium,M,Males,89.1
2022,Belgium,M,Males,88.7
2023,Belgium,M,Males,84.8
2015,Bulgaria,M,Males,76.6
2016,Bulgaria,M,Males,70.8
2017,Bulgaria,M,Males,66.2
2018,Bulgaria,M,Males,75.6
2020,Bulgaria,M,Males,72.5
2022,Bulgaria,M,Males,68.7
2023,Bulgaria,M,Males,66.6
2004,Cyprus,M,Males,75.6
2006,Cyprus,M,Males,65.0
2007,Cyprus,M,Males,73.5
2008,Cyprus,M,Males,67.2
2010,Cyprus,M,Males,62.0
2011,Cyprus,M,Males,59.1
2012,Cyprus,M,Males,60.7
2013,Cyprus,M,Males,65.7
2015,Cyprus,M,Males,67.0
2016,Cyprus,M,Males,67.4
2017,Cyprus,M,Males,77.1
2018,Cyprus,M,Males,75.5
2019,Cyprus,M,Males,73.1
2020,Cyprus,M,Males,72.5
2022,Cyprus,M,Males,69.8
2004,Germany,M,Males,83.7
2007,Germany,M,Males,80.9
2008,Germany,M,Males,86.2
2009,Germany,M,Males,88.8
2013,Germany,M,Males,86.1
2015,Germany,M,Males,86.7
2016,Germany,M,Males,86.6
2017,Germany,M,Males,86.2
2018,Germany,M,Males,86.5
2019,Germany,M,Males,86.2
2022,Germany,M,Males,84.9
2023,Germany,M,Males,84.7
2004,Denmark,M,Males,70.7
2006,Denmark,M,Males,82.1
2009,Denmark,M,Males,80.7
2010,Denmark,M,Males,78.4
2011,Denmark,M,Males,81.7
2012,Denmark,M,Males,83.1
2013,Denmark,M,Males,83.1
2015,Denmark,M,Males,82.7
2018,Denmark,M,Males,83.9
2019,Denmark,M,Males,81.4
2020,Denmark,M,Males,67.1
2022,Denmark,M,Males,68.7
2007,Estonia,M,Males,74.8
2008,Estonia,M,Males,70.8
2009,Estonia,M,Males,69.7
2010,Estonia,M,Males,78.1
2011,Estonia,M,Males,63.5
2012,Estonia,M,Males,66.3
2013,Estonia,M,Males,78.5
2015,Estonia,M,Males,80.4
2016,Estonia,M,Males,83.5
2017,Estonia,M,Males,82.3
2018,Estonia,M,Males,82.1
2019,Estonia,M,Males,80.5
2020,Estonia,M,Males,80.6
2022,Estonia,M,Males,83.5
2023,Estonia,M,Males,71.7
2006,Greece,M,Males,60.0
2007,Greece,M,Males,59.2
2008,Greece,M,Males,59.5
2010,Greece,M,Males,60.9
2011,Greece,M,Males,64.1
2012,Greece,M,Males,62.7
2013,Greece,M,Males,66.9
2015,Greece,M,Males,65.8
2016,Greece,M,Males,73.1
2017,Greece,M,Males,78.3
2018,Greece,M,Males,78.5
2019,Greece,M,Males,72.6
2020,Greece,M,Males,69.4
2022,Greece,M,Males,77.2
2023,Greece,M,Males,68.1
2007,Spain,M,Males,76.5
2008,Spain,M,Males,74.7
2009,Spain,M,Males,74.7
2010,Spain,M,Males,76.3
2011,Spain,M,Males,74.1
2012,Spain,M,Males,82.6
2013,Spain,M,Males,82.6
2015,Spain,M,Males,76.7
2016,Spain,M,Males,79.6
2017,Spain,M,Males,80.7
2018,Spain,M,Males,79.1
2019,Spain,M,Males,77.7
2020,Spain,M,Males,79.1
2004,Finland,M,Males,57.3
2006,Finland,M,Males,60.6
2009,Finland,M,Males,65.2
2010,Finland,M,Males,67.8
2011,Finland,M,Males,68.2
2012,Finland,M,Males,74.1
2013,Finland,M,Males,70.3
2015,Finland,M,Males,70.6
2016,Finland,M,Males,80.1
2017,Finland,M,Males,81.4
2018,Finland,M,Males,83.7
2019,Finland,M,Males,85.8
2020,Finland,M,Males,85.9
2022,Finland,M,Males,83.4
2023,Finland,M,Males,83.9
2004,France,M,Males,82.0
2007,France,M,Males,84.6
2008,France,M,Males,86.6
2009,France,M,Males,86.2
2010,France,M,Males,82.4
2011,France,M,Males,84.8
2012,France,M,Males,83.3
2015,France,M,Males,86.2
2016,France,M,Males,86.6
2017,France,M,Males,88.2
2018,France,M,Males,88.1
2019,France,M,Males,77.7
2020,France,M,Males,83.4
2015,Croatia,M,Males,89.7
2016,Croatia,M,Males,93.9
2017,Croatia,M,Males,87.3
2018,Croatia,M,Males,80.7
2020,Croatia,M,Males,84.2
2022,Croatia,M,Males,88.5
2023,Croatia,M,Males,85.2
2004,Hungary,M,Males,76.6
2006,Hungary,M,Males,79.8
2007,Hungary,M,Males,80.9
2008,Hungary,M,Males,82.3
2009,Hungary,M,Males,84.4
2010,Hungary,M,Males,84.3
2011,Hungary,M,Males,85.9
2012,Hungary,M,Males,85.2
2013,Hungary,M,Males,83.9
2015,Hungary,M,Males,86.2
2016,Hungary,M,Males,85.2
2017,Hungary,M,Males,90.4
2018,Hungary,M,Males,88.8
2019,Hungary,M,Males,86.3
2020,Hungary,M,Males,82.9
2022,Hungary,M,Males,88.3
2023,Hungary,M,Males,86.0
2004,Ireland,M,Males,48.0
2006,Ireland,M,Males,53.2
2008,Ireland,M,Males,59.7
2009,Ireland,M,Males,63.3
2010,Ireland,M,Males,64.2
2011,Ireland,M,Males,66.1
2012,Ireland,M,Males,64.8
2013,Ireland,M,Males,69.6
2015,Ireland,M,Males,72.3
2016,Ireland,M,Males,71.2
2018,Ireland,M,Males,75.2
2019,Ireland,M,Males,78.0
2020,Ireland,M,Males,76.8
2022,Ireland,M,Males,76.1
2023,Ireland,M,Males,76.2
2006,Italy,M,Males,68.7
2007,Italy,M,Males,69.7
2008,Italy,M,Males,70.8
2009,Italy,M,Males,77.2
2010,Italy,M,Males,76.4
2011,Italy,M,Males,72.4
2012,Italy,M,Males,75.1
2013,Italy,M,Males,78.8
2015,Italy,M,Males,81.1
2016,Italy,M,Males,81.8
2017,Italy,M,Males,78.4
2019,Italy,M,Males,83.9
2020,Italy,M,Males,83.3
2022,Italy,M,Males,85.5
2023,Italy,M,Males,88.8
2009,Lithuania,M,Males,80.3
2010,Lithuania,M,Males,77.3
2011,Lithuania,M,Males,80.2
2013,Lithuania,M,Males,82.1
2015,Lithuania,M,Males,90.7
2016,Lithuania,M,Males,80.8
2017,Lithuania,M,Males,81.8
2018,Lithuania,M,Males,85.1
2019,Lithuania,M,Males,84.3
2020,Lithuania,M,Males,79.3
2022,Lithuania,M,Males,84.6
2023,Lithuania,M,Males,82.8
2004,Luxembourg,M,Males,88.1
2006,Luxembourg,M,Males,88.0
2008,Luxembourg,M,Males,97.0
2010,Luxembourg,M,Males,90.8
2011,Luxembourg,M,Males,85.2
2012,Luxembourg,M,Males,90.1
2013,Luxembourg,M,Males,90.7
2016,Luxembourg,M,Males,83.3
2017,Luxembourg,M,Males,84.5
2018,Luxembourg,M,Males,86.1
2019,Luxembourg,M,Males,76.4
2020,Luxembourg,M,Males,86.5
2022,Luxembourg,M,Males,82.2
2023,Luxembourg,M,Males,83.2
2006,Latvia,M,Males,82.4
2007,Latvia,M,Males,76.1
2008,Latvia,M,Males,70.9
2010,Latvia,M,Males,73.5
2011,Latvia,M,Males,73.1
2012,Latvia,M,Males,66.0
2013,Latvia,M,Males,63.5
2015,Latvia,M,Males,85.0
2016,Latvia,M,Males,80.5
2017,Latvia,M,Males,81.8
2018,Latvia,M,Males,90.6
2019,Latvia,M,Males,75.2
2020,Latvia,M,Males,93.6
2022,Latvia,M,Males,91.0
2023,Latvia,M,Males,77.7
2006,Malta,M,Males,82.6
2007,Malta,M,Males,87.6
2008,Malta,M,Males,88.4
2009,Malta,M,Males,80.5
2010,Malta,M,Males,77.4
2012,Malta,M,Males,86.3
2013,Malta,M,Males,86.3
2015,Malta,M,Males,81.0
2016,Malta,M,Males,83.1
