Country,Year,Value
Austria,2002,33.47
Cyprus,2002,24.0
Denmark,2002,55.64
Finland,2002,44.28
France,2002,23.04
Germany,2002,46.14
Greece,2002,12.15
Italy,2002,33.75
Latvia,2002,3.0
Lithuania,2002,4.1
Luxembourg,2002,39.89
Netherlands,2002,58.0
Poland,2002,11.0
Portugal,2002,15.12
United Kingdom,2002,49.72
Austria,2003,37.37
Cyprus,2003,29.0
Denmark,2003,64.19
Finland,2003,47.36
France,2003,30.98
Germany,2003,54.08
Greece,2003,16.3
Ireland,2003,35.57
Italy,2003,32.08
Lithuania,2003,6.15
Luxembourg,2003,45.39
Netherlands,2003,60.53
Poland,2003,14.0
Portugal,2003,21.69
Spain,2003,27.55
United Kingdom,2003,55.11
Austria,2004,44.65
Bulgaria,2004,9.65
Cyprus,2004,52.77
Denmark,2004,69.36
Estonia,2004,30.76
Finland,2004,50.91
France,2004,33.61
Germany,2004,60.0
Greece,2004,16.54
Hungary,2004,14.18
Ireland,2004,39.73
Italy,2004,34.11
Latvia,2004,14.65
Lithuania,2004,11.6
Luxembourg,2004,58.64
Netherlands,2004,64.99
Poland,2004,26.02
Portugal,2004,26.17
Romania,2004,5.58
Slovakia,2004,23.34
Slovenia,2004,46.86
Spain,2004,33.64
United Kingdom,2004,55.9
Austria,2005,46.69
Belgium,2005,50.16
Cyprus,2005,31.71
Denmark,2005,74.92
Estonia,2005,36.79
Finland,2005,54.14
Germany,2005,61.64
Greece,2005,21.73
Hungary,2005,22.12
Ireland,2005,47.18
Italy,2005,38.58
Latvia,2005,30.52
Lithuania,2005,15.78
Luxembourg,2005,64.58
Malta,2005,40.57
Netherlands,2005,78.26
Poland,2005,30.44
Portugal,2005,31.46
Slovakia,2005,22.97
Slovenia,2005,48.21
Spain,2005,35.51
Sweden,2005,72.53
United Kingdom,2005,60.23
Austria,2006,52.3
Belgium,2006,53.96
Bulgaria,2006,17.01
Cyprus,2006,36.67
Denmark,2006,78.73
Estonia,2006,45.18
Finland,2006,64.73
France,2006,40.93
Germany,2006,67.11
Greece,2006,23.12
Hungary,2006,31.65
Ireland,2006,49.95
Italy,2006,40.01
Latvia,2006,42.2
Lithuania,2006,34.51
Luxembourg,2006,70.18
Malta,2006,52.78
Netherlands,2006,80.26
Poland,2006,35.94
Portugal,2006,35.15
Romania,2006,14.25
Slovakia,2006,26.58
Slovenia,2006,54.36
Spain,2006,38.04
Sweden,2006,77.39
United Kingdom,2006,62.64
Austria,2007,59.62
Belgium,2007,60.16
Bulgaria,2007,18.96
Croatia,2007,40.59
Cyprus,2007,38.9
Denmark,2007,78.05
Estonia,2007,52.2
European Union - 27 countries (from 2020),2007,52.99
European Union - 28 countries (2013-2020),2007,54.65
Finland,2007,68.78
France,2007,55.05
Germany,2007,70.67
Greece,2007,25.4
Hungary,2007,37.72
Ireland,2007,57.27
Italy,2007,43.38
Latvia,2007,50.53
Lithuania,2007,44.36
Luxembourg,2007,74.55
Malta,2007,53.92
Netherlands,2007,82.89
Poland,2007,40.98
Portugal,2007,39.61
Romania,2007,22.25
Slovakia,2007,46.11
Slovenia,2007,57.61
Spain,2007,43.48
Sweden,2007,78.55
United Kingdom,2007,66.72
Austria,2008,68.92
Belgium,2008,63.63
Bulgaria,2008,25.29
Croatia,2008,45.26
Cyprus,2008,42.92
Denmark,2008,81.88
Estonia,2008,57.35
European Union - 27 countries (from 2020),2008,58.6
European Union - 28 countries (2013-2020),2008,60.13
Finland,2008,72.38
France,2008,62.32
Germany,2008,74.88
Greece,2008,30.96
Hungary,2008,46.63
Ireland,2008,63.05
Italy,2008,46.93
Latvia,2008,52.81
Lithuania,2008,50.94
Luxembourg,2008,80.09
Malta,2008,59.0
Netherlands,2008,86.08
Poland,2008,47.6
Portugal,2008,46.04
Romania,2008,29.6
Slovakia,2008,58.34
Slovenia,2008,58.89
Spain,2008,49.86
Sweden,2008,84.44
United Kingdom,2008,71.14
Austria,2009,69.75
Belgium,2009,67.44
Bulgaria,2009,29.6
Croatia,2009,50.04
Cyprus,2009,52.76
Denmark,2009,82.53
Estonia,2009,61.85
European Union - 27 countries (from 2020),2009,64.15
European Union - 28 countries (2013-2020),2009,65.69
Finland,2009,77.78
France,2009,68.87
Germany,2009,79.07
Greece,2009,38.06
Hungary,2009,53.42
Ireland,2009,66.67
Italy,2009,53.48
Latvia,2009,58.02
Lithuania,2009,60.0
Luxembourg,2009,87.2
Malta,2009,64.45
Netherlands,2009,89.7
Poland,2009,58.59
Portugal,2009,47.89
Romania,2009,37.95
Slovakia,2009,62.23
Slovenia,2009,63.94
Spain,2009,52.93
Sweden,2009,85.98
United Kingdom,2009,76.69
Austria,2010,72.89
Belgium,2010,72.74
Bulgaria,2010,33.11
Croatia,2010,56.5
Cyprus,2010,53.71
Denmark,2010,86.1
Estonia,2010,66.89
European Union - 27 countries (from 2020),2010,68.46
European Union - 28 countries (2013-2020),2010,69.85
Finland,2010,80.54
France,2010,73.61
Germany,2010,82.49
Greece,2010,46.35
Hungary,2010,58.41
Ireland,2010,71.69
Italy,2010,58.97
Latvia,2010,59.77
Lithuania,2010,60.58
Luxembourg,2010,90.28
Malta,2010,70.45
Netherlands,2010,90.89
Poland,2010,63.44
Portugal,2010,53.73
Romania,2010,42.18
Slovakia,2010,67.48
Slovenia,2010,68.13
Spain,2010,57.82
Sweden,2010,88.3
United Kingdom,2010,79.61
Austria,2011,75.44
Belgium,2011,76.51
Bulgaria,2011,45.0
Croatia,2011,61.41
Cyprus,2011,57.35
Denmark,2011,90.08
Estonia,2011,69.39
European Union - 27 countries (from 2020),2011,71.55
European Union - 28 countries (2013-2020),2011,72.89
Finland,2011,84.16
France,2011,75.92
Germany,2011,83.25
Greece,2011,50.17
Hungary,2011,63.22
Ireland,2011,78.12
Italy,2011,61.57
Latvia,2011,63.64
Lithuania,2011,60.14
Luxembourg,2011,90.62
Malta,2011,75.29
Netherlands,2011,93.64
Poland,2011,66.64
Portugal,2011,57.97
Romania,2011,47.44
Slovakia,2011,70.78
Slovenia,2011,72.6
Spain,2011,62.71
Sweden,2011,90.64
United Kingdom,2011,82.7
Austria,2012,79.28
Belgium,2012,77.71
Bulgaria,2012,50.92
Croatia,2012,66.41
Cyprus,2012,61.82
Denmark,2012,92.0
Estonia,2012,73.82
European Union - 27 countries (from 2020),2012,74.54
European Union - 28 countries (2013-2020),2012,76.05
Finland,2012,86.8
France,2012,80.0
Germany,2012,85.5
Greece,2012,53.58
Hungary,2012,66.81
Ireland,2012,81.09
Italy,2012,62.92
Latvia,2012,68.68
Lithuania,2012,60.12
Luxembourg,2012,93.08
Malta,2012,76.7
Netherlands,2012,93.55
Poland,2012,70.49
Portugal,2012,61.02
Romania,2012,53.77
Slovakia,2012,75.44
Slovenia,2012,73.94
Spain,2012,66.59
Sweden,2012,91.69
United Kingdom,2012,86.8
Austria,2013,80.86
Belgium,2013,80.05
Bulgaria,2013,53.71
Croatia,2013,64.58
Cyprus,2013,64.71
Denmark,2013,92.71
Estonia,2013,79.31
European Union - 27 countries (from 2020),2013,77.17
European Union - 28 countries (2013-2020),2013,78.54
Finland,2013,89.24
France,2013,81.72
Germany,2013,87.75
Greece,2013,56.31
Hungary,2013,69.66
Ireland,2013,82.39
Italy,2013,68.91
Latvia,2013,71.6
Lithuania,2013,64.73
Luxembourg,2013,94.46
Malta,2013,78.04
Netherlands,2013,94.63
Poland,2013,71.9
Portugal,2013,62.34
Romania,2013,58.07
Slovakia,2013,77.91
Slovenia,2013,75.62
Spain,2013,69.73
Sweden,2013,92.59
United Kingdom,2013,88.45
Austria,2014,80.99
Belgium,2014,82.8
Bulgaria,2014,56.65
Croatia,2014,68.37
Cyprus,2014,68.64
Denmark,2014,93.12
Estonia,2014,82.9
European Union - 27 countries (from 2020),2014,79.61
European Union - 28 countries (2013-2020),2014,80.99
Finland,2014,89.83
France,2014,82.96
Germany,2014,89.47
Greece,2014,65.55
Hungary,2014,73.06
Ireland,2014,82.17
Italy,2014,72.61
Latvia,2014,73.38
Lithuania,2014,65.97
Luxembourg,2014,95.56
Malta,2014,80.32
Netherlands,2014,95.78
Poland,2014,74.76
Portugal,2014,64.87
Romania,2014,60.54
Slovakia,2014,78.35
Slovenia,2014,76.8
Spain,2014,74.35
Sweden,2014,89.57
United Kingdom,2014,90.34
Austria,2015,82.42
Belgium,2015,81.83
Bulgaria,2015,59.14
Croatia,2015,76.71
Cyprus,2015,71.21
Denmark,2015,91.74
Estonia,2015,87.73
European Union - 27 countries (from 2020),2015,81.37
European Union - 28 countries (2013-2020),2015,82.6
Finland,2015,89.93
France,2015,82.62
Germany,2015,90.29
Greece,2015,68.09
Hungary,2015,75.64
Ireland,2015,84.86
Italy,2015,75.39
Latvia,2015,76.0
Lithuania,2015,68.26
Luxembourg,2015,96.78
Malta,2015,81.0
Netherlands,2015,95.97
Poland,2015,75.78
Portugal,2015,70.23
Romania,2015,67.71
Slovakia,2015,79.48
Slovenia,2015,77.64
Spain,2015,78.75
Sweden,2015,91.03
United Kingdom,2015,91.25
Austria,2016,85.09
Belgium,2016,84.79
Bulgaria,2016,63.54
Croatia,2016,77.34
Cyprus,2016,74.35
Denmark,2016,94.34
Estonia,2016,86.19
European Union - 27 countries (from 2020),2016,84.21
European Union - 28 countries (2013-2020),2016,85.38
Finland,2016,91.95
France,2016,85.87
Germany,2016,92.14
Greece,2016,69.13
Hungary,2016,79.18
Ireland,2016,86.91
Italy,2016,78.51
Latvia,2016,77.34
Lithuania,2016,71.75
Luxembourg,2016,97.04
Malta,2016,81.41
Netherlands,2016,96.66
Poland,2016,80.45
Portugal,2016,74.05
Romania,2016,72.4
Slovakia,2016,80.52
Slovenia,2016,78.42
Spain,2016,81.93
Sweden,2016,93.8
United Kingdom,2016,93.48
Austria,2017,88.79
Belgium,2017,85.97
Bulgaria,2017,67.33
Croatia,2017,76.45
Cyprus,2017,79.41
Denmark,2017,97.0
Estonia,2017,88.27
European Union - 27 countries (from 2020),2017,85.81
European Union - 28 countries (2013-2020),2017,86.86
Finland,2017,94.42
France,2017,86.41
Germany,2017,92.86
Greece,2017,70.96
Hungary,2017,82.35
Ireland,2017,88.37
Italy,2017,81.02
Latvia,2017,78.61
Lithuania,2017,74.97
Luxembourg,2017,97.23
Malta,2017,84.77
Netherlands,2017,98.23
Poland,2017,81.88
Portugal,2017,76.94
Romania,2017,76.45
Slovakia,2017,81.33
Slovenia,2017,81.74
Spain,2017,83.39
Sweden,2017,94.73
United Kingdom,2017,93.99
Austria,2018,88.78
Belgium,2018,87.27
Bulgaria,2018,72.13
Croatia,2018,81.52
Cyprus,2018,86.17
Denmark,2018,92.66
Estonia,2018,90.47
European Union - 27 countries (from 2020),2018,87.94
European Union - 28 countries (2013-2020),2018,88.8
Finland,2018,94.28
France,2018,88.56
Germany,2018,94.39
Greece,2018,76.49
Hungary,2018,83.31
Ireland,2018,89.11
Italy,2018,84.34
Latvia,2018,81.58
Lithuania,2018,78.38
Luxembourg,2018,92.99
Malta,2018,84.14
Netherlands,2018,98.0
Poland,2018,84.19
Portugal,2018,79.43
Romania,2018,80.89
Slovakia,2018,80.84
Slovenia,2018,86.68
Spain,2018,86.36
Sweden,2018,93.42
United Kingdom,2018,94.85
Austria,2019,89.91
Belgium,2019,89.73
Bulgaria,2019,75.07
Croatia,2019,80.52
Cyprus,2019,89.61
Denmark,2019,95.43
Estonia,2019,90.43
European Union - 27 countries (from 2020),2019,89.68
European Union - 28 countries (2013-2020),2019,90.48
Finland,2019,94.36
France,2019,90.17
Germany,2019,94.83
Greece,2019,78.54
Hungary,2019,86.2
Ireland,2019,90.59
Italy,2019,85.17
Latvia,2019,85.45
Lithuania,2019,81.52
Luxembourg,2019,95.2
Malta,2019,86.08
Netherlands,2019,98.41
Poland,2019,86.75
Portugal,2019,80.94
Romania,2019,83.61
Slovakia,2019,82.19
Slovenia,2019,88.96
Spain,2019,91.44
Sweden,2019,96.06
United Kingdom,2019,95.85
Austria,2020,90.4
Belgium,2020,90.86
Bulgaria,2020,78.85
Croatia,2020,85.0
Cyprus,2020,92.78
Denmark,2020,95.27
Estonia,2020,89.98
European Union - 27 countries (from 2020),2020,91.3
Finland,2020,96.0
Germany,2020,95.8
Greece,2020,80.38
Hungary,2020,87.63
Ireland,2020,91.82
Italy,2020,88.1
Latvia,2020,89.73
Lithuania,2020,82.13
Luxembourg,2020,93.57
Malta,2020,90.36
Netherlands,2020,96.95
Poland,2020,90.38
Portugal,2020,84.49
Romania,2020,86.24
Slovakia,2020,85.78
Slovenia,2020,89.97
Spain,2020,95.38
Sweden,2020,93.94
United Kingdom,2020,97.3
Austria,2021,95.0
Belgium,2021,91.97
Bulgaria,2021,83.53
Croatia,2021,86.09
Cyprus,2021,93.41
Denmark,2021,96.14
Estonia,2021,91.82
European Union - 27 countries (from 2020),2021,92.3
Finland,2021,96.56
France,2021,93.33
Germany,2021,91.88
Greece,2021,85.07
Hungary,2021,90.78
Ireland,2021,97.5
Italy,2021,90.49
Latvia,2021,91.15
Lithuania,2021,86.55
Luxembourg,2021,99.18
Malta,2021,90.54
Netherlands,2021,98.56
Poland,2021,92.42
Portugal,2021,87.34
Romania,2021,88.74
Slovakia,2021,89.96
Slovenia,2021,93.04
Spain,2021,95.92
Sweden,2021,93.23
Austria,2022,93.15
Belgium,2022,94.44
Bulgaria,2022,87.31
Croatia,2022,85.52
Cyprus,2022,94.0
Denmark,2022,95.16
Estonia,2022,92.41
European Union - 27 countries (from 2020),2022,92.44
Finland,2022,97.59
France,2022,92.25
Germany,2022,91.41
Greece,2022,85.49
Hungary,2022,91.44
Italy,2022,91.45
Latvia,2022,91.39
Lithuania,2022,87.71
Luxembourg,2022,97.64
Malta,2022,93.39
Netherlands,2022,98.28
Poland,2022,93.33
Portugal,2022,88.15
Romania,2022,89.41
Slovakia,2022,90.65
Slovenia,2022,92.6
Spain,2022,96.08
Sweden,2022,94.33
Austria,2023,94.98
Belgium,2023,94.48
Bulgaria,2023,88.5
Croatia,2023,89.56
Cyprus,2023,92.3
Denmark,2023,96.09
Estonia,2023,93.22
European Union - 27 countries (from 2020),2023,93.09
Finland,2023,96.78
France,2023,93.34
Germany,2023,91.66
Greece,2023,86.9
Hungary,2023,92.73
Ireland,2023,93.92
Italy,2023,91.89
Latvia,2023,93.07
Lithuania,2023,88.59
Luxembourg,2023,99.06
Malta,2023,93.54
Netherlands,2023,98.86
Poland,2023,93.3
Portugal,2023,89.01
Romania,2023,92.0
Slovakia,2023,90.6
Slovenia,2023,93.72
Spain,2023,96.45
Sweden,2023,94.87
Austria,2024,94.96
Belgium,2024,91.38
Bulgaria,2024,92.12
Croatia,2024,88.37
Cyprus,2024,94.92
Denmark,2024,96.92
Estonia,2024,92.89
European Union - 27 countries (from 2020),2024,94.09
Finland,2024,97.35
France,2024,94.44
Germany,2024,92.65
Greece,2024,86.89
Hungary,2024,94.78
Ireland,2024,92.97
Italy,2024,93.41
Latvia,2024,94.33
Lithuania,2024,90.38
Luxembourg,2024,98.84
Malta,2024,95.58
Netherlands,2024,99.04
Poland,2024,95.89
Portugal,2024,90.6
Romania,2024,94.57
Slovakia,2024,90.54
Slovenia,2024,94.13
Spain,2024,96.83
Sweden,2024,95.43
